Layer: 1, Crossbars required: 1
OU Row: 8, OU Col: 16, OU required: 8, Latency: 128.0, Energy: 98304.0, EDP: 12582912.00000 J•s, Power Density: 0.00070 W, TOPS: 6.84e-02, EPM: 1.03e-14
OU Row: 8, OU Col: 20, OU required: 7, Latency: 98.0, Energy: 94080.0, EDP: 9219840.00000 J•s, Power Density: 0.00102 W, TOPS: 8.54e-02, EPM: 1.20e-14
OU Row: 8, OU Col: 24, OU required: 6, Latency: 72.0, Energy: 82944.0, EDP: 5971968.00000 J•s, Power Density: 0.00140 W, TOPS: 1.03e-01, EPM: 1.37e-14
OU Row: 8, OU Col: 28, OU required: 5, Latency: 50.0, Energy: 67200.0, EDP: 3360000.00000 J•s, Power Density: 0.00184 W, TOPS: 1.20e-01, EPM: 1.54e-14
OU Row: 8, OU Col: 32, OU required: 4, Latency: 32.0, Energy: 49152.0, EDP: 1572864.00000 J•s, Power Density: 0.00234 W, TOPS: 1.37e-01, EPM: 1.71e-14
OU Row: 12, OU Col: 4, OU required: 22, Latency: 1452.0, Energy: 418176.0, EDP: 607191552.00000 J•s, Power Density: 0.00018 W, TOPS: 2.56e-02, EPM: 6.91e-15
OU Row: 12, OU Col: 8, OU required: 11, Latency: 363.0, Energy: 209088.0, EDP: 75898944.00000 J•s, Power Density: 0.00044 W, TOPS: 5.13e-02, EPM: 8.61e-15
OU Row: 12, OU Col: 12, OU required: 8, Latency: 192.0, Energy: 165888.0, EDP: 31850496.00000 J•s, Power Density: 0.00079 W, TOPS: 7.69e-02, EPM: 1.03e-14
OU Row: 12, OU Col: 16, OU required: 6, Latency: 108.0, Energy: 124416.0, EDP: 13436928.00000 J•s, Power Density: 0.00123 W, TOPS: 1.03e-01, EPM: 1.20e-14
OU Row: 12, OU Col: 20, OU required: 5, Latency: 75.0, Energy: 108000.0, EDP: 8100000.00000 J•s, Power Density: 0.00176 W, TOPS: 1.28e-01, EPM: 1.37e-14
OU Row: 12, OU Col: 24, OU required: 4, Latency: 48.0, Energy: 82944.0, EDP: 3981312.00000 J•s, Power Density: 0.00237 W, TOPS: 1.54e-01, EPM: 1.54e-14
OU Row: 12, OU Col: 28, OU required: 4, Latency: 48.0, Energy: 96768.0, EDP: 4644864.00000 J•s, Power Density: 0.00307 W, TOPS: 1.79e-01, EPM: 1.71e-14
OU Row: 12, OU Col: 32, OU required: 3, Latency: 27.0, Energy: 62208.0, EDP: 1679616.00000 J•s, Power Density: 0.00386 W, TOPS: 2.05e-01, EPM: 1.88e-14
OU Row: 16, OU Col: 4, OU required: 16, Latency: 1024.0, Energy: 393216.0, EDP: 402653184.00000 J•s, Power Density: 0.00030 W, TOPS: 3.42e-02, EPM: 8.65e-15
OU Row: 16, OU Col: 8, OU required: 8, Latency: 256.0, Energy: 196608.0, EDP: 50331648.00000 J•s, Power Density: 0.00071 W, TOPS: 6.84e-02, EPM: 1.03e-14
OU Row: 16, OU Col: 12, OU required: 6, Latency: 144.0, Energy: 165888.0, EDP: 23887872.00000 J•s, Power Density: 0.00124 W, TOPS: 1.03e-01, EPM: 1.20e-14
OU Row: 16, OU Col: 16, OU required: 4, Latency: 64.0, Energy: 98304.0, EDP: 6291456.00000 J•s, Power Density: 0.00188 W, TOPS: 1.37e-01, EPM: 1.37e-14
OU Row: 16, OU Col: 20, OU required: 4, Latency: 64.0, Energy: 122880.0, EDP: 7864320.00000 J•s, Power Density: 0.00264 W, TOPS: 1.71e-01, EPM: 1.55e-14
OU Row: 16, OU Col: 24, OU required: 3, Latency: 36.0, Energy: 82944.0, EDP: 2985984.00000 J•s, Power Density: 0.00352 W, TOPS: 2.05e-01, EPM: 1.72e-14
OU Row: 16, OU Col: 28, OU required: 3, Latency: 36.0, Energy: 96768.0, EDP: 3483648.00000 J•s, Power Density: 0.00451 W, TOPS: 2.39e-01, EPM: 1.89e-14
OU Row: 16, OU Col: 32, OU required: 2, Latency: 16.0, Energy: 49152.0, EDP: 786432.00000 J•s, Power Density: 0.00562 W, TOPS: 2.73e-01, EPM: 2.06e-14
